NUTS3;Number of heating days;Average temperature during heating period;Number SFH;Number MFH;Appartment per SFH;Appartment per MFH;SHD_SFH;SHD_MFH;HWD_SFH;HWD_MFH;OTH_SFH;OTH_MFH
DEB34;180;5,719675926;19745;7680;1,18374272;6,928320313;17210,28629;55334,66146;1491,966135;6928,320313;5967,864541;20784,96094
DEB35;180;5,719675926;22136;9356;1,203830864;7,25293929;17033,38622;55013,2962;1517,284839;7252,93929;6069,139354;21758,81787
DEB36;180;5,719675926;11317;2527;1,189449501;5,882271468;17393,84879;47174,91455;1499,15885;5882,271468;5996,635402;17646,8144
DEB37;238;4,198932073;7597;2967;1,277609583;5,54752275;25964,42235;61055,16271;1610,274091;5547,52275;6441,096363;16642,56825
DEB38;180;5,719675926;7543;2647;1,192628927;6,13279184;17241,70134;48341,42298;1503,166138;6132,79184;6012,66455;18398,37552
DEB39;180;5,719675926;15152;3898;1,173970433;6,116598256;16927,14147;48531,58163;1479,649337;6116,598256;5918,597346;18349,79477
DEB3A;238;4,198932073;7778;1650;1,258806891;5,552727273;24885,47373;59843,47104;1586,575547;5552,727273;6346,302187;16658,18182
DEB3B;238;4,198932073;37850;2782;1,147556143;5,478253055;21029,53301;55411,6313;1446,357283;5478,253055;5785,42913;16434,75917
DEB3C;238;4,198932073;39822;3761;1,148385315;5,490428078;21521,79357;56186,31733;1447,402355;5490,428078;5789,609419;16471,28423
DEB3D;238;4,198932073;23359;1874;1,160880175;5,3452508;21772,18864;55291,83614;1463,150631;5345,2508;5852,602526;16035,7524
DEB3E;238;4,198932073;31463;3497;1,166385914;5,865885044;21380,69877;58157,62575;1470,089957;5865,885044;5880,359828;17597,65513
DEB3F;238;4,198932073;36108;3222;1,224548576;4,975946617;22254,88785;49334,4411;1543,397038;4975,946617;6173,588152;14927,83985
DEB3G;238;4,198932073;25757;1407;1,196839694;4,69047619;22959,92866;49922,2843;1508,473305;4690,47619;6033,893221;14071,42857
DEB3H;238;4,198932073;33780;2895;1,165808171;5,44611399;21643,83635;55321,84043;1469,361781;5446,11399;5877,447123;16338,34197
DEB3I;180;5,719675926;41620;3675;1,158938011;4,868571429;16133,50101;37013,78656;1460,702766;4868,571429;5842,811063;14605,71429
DEB3J;180;5,719675926;52798;7143;1,191522406;5,46948061;16291,95732;41110,42752;1501,7715;5469,48061;6007,085999;16408,44183
DEB3K;180;5,719675926;33227;1909;1,22863936;4,204819277;17446,8893;32409,70699;1548,552981;4204,819277;6194,211923;12614,45783
DE111;180;5,719675926;38701;38711;1,304694969;6,385807652;19223,00225;52092,51292;1644,411981;6385,807652;6577,647925;19157,42295
DE112;180;5,719675926;66074;14547;1,2487514;6,14329415;17128,97016;45043,86253;1573,901802;6143,29415;6295,60721;18429,88245
DE113;224;3,668061756;89535;24029;1,262400179;5,80754505;22304,44114;55102,84943;1591,104456;5807,54505;6364,417823;17422,63515
DE114;247;3,802091768;51651;9796;1,305531355;5,604328297;25527,13492;59567,27836;1645,466145;5604,328297;6581,86458;16812,98489
DE115;180;5,719675926;88141;23405;1,248420145;5,949070711;17324,53075;44494,33415;1573,484295;5949,070711;6293,937181;17847,21213
DE116;180;5,719675926;72783;19626;1,299671627;5,52432997;18184,77613;41681,43366;1638,080659;5524,32997;6552,322635;16572,98991
DE117;180;5,719675926;15466;6575;1,253976465;6,042813688;18202,95321;47390,77928;1580,487371;6042,813688;6321,949486;18128,44106
DE118;224;3,668061756;78097;9602;1,237896462;5,165017705;21143,44065;48085,61848;1560,220451;5165,017705;6240,881806;15495,05311
DE119;224;3,668061756;25608;2934;1,251601062;5,272154056;21479,32632;49393,70514;1577,493461;5272,154056;6309,973844;15816,46217
DE11A;224;3,668061756;44154;5823;1,267790008;5,520092736;21850,42256;51813,51093;1597,897691;5520,092736;6391,590763;16560,27821
DE11B;224;3,668061756;33417;3924;1,283268995;4,833460754;22455,65882;46308,85816;1617,407103;4833,460754;6469,628411;14500,38226
DE11C;247;3,802091768;31406;3914;1,232949118;5,718446602;24504,53958;61556,72274;1553,984916;5718,446602;6215,939663;17155,33981
DE11D;224;3,668061756;70875;9578;1,305749559;5,523021508;22764,15966;51985,59152;1645,741166;5523,021508;6582,964663;16569,06452
DE121;180;5,719675926;7795;3472;1,307119949;5,887384793;18630,28052;45991,00429;1647,468378;5887,384793;6589,873512;17662,15438
DE122;180;5,719675926;25639;16143;1,23936191;7,057919841;17925,20502;55488,44254;1562,067473;7057,919841;6248,269891;21173,75952
DE123;180;5,719675926;97251;15469;1,259709412;5,425916349;17398,74765;40534,88284;1587,713066;5425,916349;6350,852263;16277,74905
DE124;180;5,719675926;45842;8973;1,319466864;5,564916973;18309,85321;41777,47524;1663,030189;5564,916973;6652,120755;16694,75092
DE125;180;5,719675926;11531;8600;1,284970948;6,381395349;18673,48801;51008,23768;1619,552211;6381,395349;6478,208845;19144,18605
DE126;180;5,719675926;24507;16836;1,248704452;7,215668805;18112,62374;57356,12645;1573,84263;7215,668805;6295,37052;21647,00641
DE127;224;3,668061756;38438;3526;1,270903793;4,957175269;22366,05724;47259,16395;1601,822245;4957,175269;6407,288979;14871,52581
DE128;238;4,198932073;109748;22500;1,269608558;5,600066667;23466,22762;55742,59947;1600,189756;5600,066667;6400,759023;16800,2
DE129;238;4,198932073;12056;6259;1,234820836;6,864515098;23539,54971;70351,62058;1556,343993;6864,515098;6225,375971;20593,54529
DE12A;180;5,719675926;33357;6199;1,295919897;5,46604291;17990,79267;41417,58089;1633,352052;5466,04291;6533,408208;16398,12873
